token,transcription,pos,morphology,alt_transcription_1,alt_transcription_2,alt_transcription_3,update_info,freq,lemma,comment,number_of_years
balanseoppstillingen,B AH0 L AH1 N S AX0 OAH0 P S T IH3 L IH0 NG AX0 N,NN,SIN|DEF|NOM|MAS,B AH0 L AH1 NG S AX0 OAH0 P S T IH3 L IH0 NG AX0 N,,,Målfrid,1551,balanseoppstilling,,
balanseposter,B AH0 L AH1 N S AX0 P OAH3 S T AX0 R,NN,PLU|IND|NOM|MAS,B AH0 L AH1 NG S AX0 P OAH3 S T AX0 R,,,Målfrid,2050,balanseposte,,
balanseregnskapet,B AH0 L AH1 N S AX0 R AEJ0 N S K AA3 P AX0,NN,SIN|DEF|NOM|NEU,B AH0 L AH1 NG S AX0 R AEJ0 N S K AA3 P AX0,,,Målfrid,1775,balanseregnskap,,
balansesum,B AH0 L AH1 N S AX0 S UH3 M,NN,SIN|IND|NOM|MAS,B AH0 L AH1 NG S AX0 S UH3 M,,,Målfrid,878,balansesum,,
banestrekningene,B AA2 N AX0 S T R EH3 K N IH0 NG AX0 N AX0,NN,PLU|DEF|NOM|MAS-FEM,,,,Målfrid,1184,banestrekninge,,
bankgruppe,B AH1 NG K G R UH3 P AX0,NN,SIN|IND|NOM|MAS-FEM,,,,Målfrid,4181,bankgruppe,,
banksikringsloven,B AH1 NG K S IH0 K R IH0 NG S L OA3 V AX0 N,NN,SIN|DEF|NOM|MAS,,,,Målfrid,1194,banksikringslove,,
bard,B AH0 R D,NN,SIN|IND|NOM|MAS,,,,Målfrid,1425,bard,,
barhet,B AA1 R H EE3 T,NN,SIN|IND|NOM|MAS-FEM,,,,Målfrid,1240,barh,,
baritt,B AH0 R IH1 T,NN,SIN|IND|NOM|MAS,,,,Målfrid,811,baritt,,
barmarkskjøretøy,B AA1 R M AH0 R K S KJ OEH0 R AX0 T OEJ3,NN,SIN-PLU|IND|NOM|NEU,,,,Målfrid,960,barmarkskjøretøy,,
barnebolig,B AA2 RN AX0 B OO3 L IH0,NN,SIN|IND|NOM|MAS,,,,Målfrid,1271,barnebolig,,
barneboliger,B AA2 RN AX0 B OO3 L IH0 AX0 R,NN,PLU|IND|NOM|MAS,,,,Målfrid,843,barnebolige,,
barnegruppen,B AA2 RN AX0 G R UH3 P AX0 N,NN,SIN|DEF|NOM|MAS,,,,Målfrid,1579,barnegruppe,,
barnehageeierne,B AA2 RN AX0 H AA0 G AX0 AEJ3 AX0 RN AX0,NN,PLU|DEF|NOM|MAS,,,,Målfrid,817,barnehageeierne,,
barnehagefaglig,B AA2 RN AX0 H AA0 G AX0 F AA3 G L IH0,JJ,SIN|IND|NOM|NEU-MAS-FEM|POS,,,,Målfrid,947,barnehagefaglig,,
barnehageforskning,B AA2 RN AX0 H AA0 G AX0 F OAH3 RS K N IH0 NG,NN,SIN|IND|NOM|MAS-FEM,,,,Målfrid,1314,barnehageforskning,,
barnehagehverdagen,B AA2 RN AX0 H AA0 G AX0 V AX0 RD AA3 G AX0 N,NN,SIN|DEF|NOM|MAS,,,,Målfrid,831,barnehagehverdage,,
barnehagelovens,B AA2 RN AX0 H AA0 G AX0 L OA3 V AX0 N S,NN,SIN|DEF|GEN|MAS,,,,Målfrid,1008,barnehagelovens,,
barnehagelærerutdanning,B AA2 RN AX0 H AA0 G AX0 L AE0 R AX0 R UU0 T D AH3 N IH0 NG,NN,SIN|IND|NOM|MAS-FEM,,,,Målfrid,6210,barnehagelærerutdanning,,
barnehagemiljø,B AA2 RN AX0 H AA0 G AX0 M IH0 L J OE3,NN,SIN-PLU|IND|NOM|NEU,,,,Målfrid,1884,barnehagemiljø,,
barnehagemyndighet,B AA2 RN AX0 H AA0 G AX0 M YH0 N D IH0 H EE3 T,NN,SIN|IND|NOM|MAS-FEM,,,,Målfrid,5765,barnehagemyndigh,,
barnehagemyndigheten,B AA2 RN AX0 H AA0 G AX0 M YH0 N D IH0 H EE3 T NX0,NN,SIN|DEF|NOM|MAS,,,,Målfrid,3392,barnehagemyndighete,,
barnehageområdet,B AA2 RN AX0 H AA0 G AX0 OAH0 M R OA3 D AX0,NN,SIN|DEF|NOM|NEU,,,,Målfrid,3164,barnehageområd,,
barnehagepedagogikk,B AA2 RN AX0 H AA0 G AX0 P AX0 D AH0 G OH0 G IH3 K,NN,SIN|IND|NOM|MAS,,,,Målfrid,1431,barnehagepedagogikk,,
barnekonvensjonens,B AA2 RN AX0 K OH0 N V AX0 N SJ OO3 N NX0 S,NN,SIN|DEF|GEN|MAS,,,,Målfrid,1431,barnekonvensjonens,,
barnelova,B AA2 RN AX0 L OA3 V AH0,NN,SIN|DEF|NOM|FEM,,,,Målfrid,1585,barnelove,,
barnetrygdloven,B AA2 RN AX0 T R YH0 G D L OA3 V AX0 N,NN,SIN|DEF|NOM|MAS,,,,Målfrid,1174,barnetrygdlove,,
barnevernfaglig,B AA2 RN AX0 V AE0 RN F AA3 G L IH0,JJ,SIN|IND|NOM|NEU-MAS-FEM|POS,,,,Målfrid,852,barnevernfaglig,,
barneverninstitusjonene,B AA2 RN AX0 V AE0 RN IH0 N S T IH0 T UH0 SJ OO3 N NX0 AX0,NN,PLU|DEF|NOM|MAS,,,,Målfrid,971,barneverninstitusjone,,
barnevernlov,B AA2 RN AX0 V AE0 RN L OA3 V,NN,SIN|IND|NOM|MAS,,,,Målfrid,1189,barnevernlov,,
barnevernlovens,B AA2 RN AX0 V AE0 RN L OA3 V AX0 N S,NN,SIN|DEF|GEN|MAS,,,,Målfrid,1568,barnevernlovens,,
barnevernmyndighet,B AA2 RN AX0 V AE0 RN M YH0 N D IH0 H EE3 T,NN,SIN|IND|NOM|MAS-FEM,,,,Målfrid,1035,barnevernmyndigh,,
barnevernområdet,B AA2 RN AX0 V AE0 RN OAH0 M R OA3 D AX0,NN,SIN|DEF|NOM|NEU,,,,Målfrid,2066,barnevernområd,,
barnevernslov,B AA2 RN AX0 V AE0 RN RS L OA3 V,NN,SIN|IND|NOM|MAS,,,,Målfrid,1616,barnevernslov,,
barnevernsområdet,B AA2 RN AX0 V AE0 RN RS OAH0 M R OA3 D AX0,NN,SIN|DEF|NOM|NEU,,,,Målfrid,1195,barnevernsområd,,
barnevernstjenestens,B AA2 RN AX0 V AE0 RN RS RT J EE3 N AX0 S T NX0 S,NN,SIN|DEF|GEN|MAS,,,,Målfrid,1833,barnevernstjenestens,,
barneverntiltak,B AA2 RN AX0 V AE0 RN RT IH0 L T AA3 K,NN,SIN-PLU|IND|NOM|NEU,,,,Målfrid,1848,barneverntiltak,,
barneverntjeneste,B AA2 RN AX0 V AE0 RN RT J EE3 N AX0 S T AX0,NN,SIN|IND|NOM|MAS,,,,Målfrid,3051,barneverntjenest,,
barneverntjenestene,B AA2 RN AX0 V AE0 RN RT J EE3 N AX0 S T NX0 AX0,NN,PLU|DEF|NOM|MAS,,,,Målfrid,2911,barneverntjeneste,,
barriereelementer,B AH0 R IH0 AE2 R AX0 AX0 L AX0 M EH3 N T AX0 R,NN,PLU|IND|NOM|NEU,,,,Målfrid,1658,barriereelemente,,
barrierevirkning,B AH0 R IH0 AE2 R AX0 V IH3 R K N IH0 NG,NN,SIN|IND|NOM|MAS-FEM,,,,Målfrid,1774,barrierevirkning,,
barseloppholdet,B AH1 RS LX0 OAH0 P H OAH3 L AX0,NN,SIN|DEF|NOM|NEU,,,,Målfrid,11231,barselopphold,,
barskoggrensen,B AA2 RS K OO0 G G R EH3 N S NX0,NN,SIN|DEF|NOM|MAS,,,,Målfrid,2257,barskoggrense,,
baserik,B AA2 S AX0 R II3 K,JJ,SIN|IND|NOM|MAS-FEM|POS,,,,Målfrid,1968,baserik,,
baserike,B AA2 S AX0 R II3 K AX0,JJ,PLU|IND-DEF|NOM|NEU-MAS-FEM|POS,,,,Målfrid,828,baserik,,
basisbevilgning,B AA1 S IH0 S B AX0 V IH3 L G N IH0 NG,NN,SIN|IND|NOM|MAS-FEM,,,,Målfrid,4867,basisbevilgning,,
basisbevilgningen,B AA1 S IH0 S B AX0 V IH3 L G N IH0 NG AX0 N,NN,SIN|DEF|NOM|MAS,,,,Målfrid,5445,basisbevilgninge,,
basisfinansiering,B AA1 S IH0 S F IH0 N AH0 N S IH0 EE3 R IH0 NG,NN,SIN|IND|NOM|MAS-FEM,B AA1 S IH0 S F IH0 N AH0 NG S IH0 EE3 R IH0 NG,,,Målfrid,3087,basisfinansiering,,
basisfinansieringen,B AA1 S IH0 S F IH0 N AH0 N S IH0 EE3 R IH0 NG AX0 N,NN,SIN|DEF|NOM|MAS,B AA1 S IH0 S F IH0 N AH0 NG S IH0 EE3 R IH0 NG AX0 N,,,Målfrid,1127,basisfinansieringe,,
basiskart,B AA1 S IH0 S K AH3 RT,NN,SIN-PLU|IND|NOM|NEU,,,,Målfrid,1884,basiskart,,
basiskriteriet,B AA1 S IH0 S K R IH0 T EE3 R IH0 AX0,NN,SIN|DEF|NOM|NEU,,,,Målfrid,852,basiskriteri,,
basisnæringene,B AA1 S IH0 S N AE3 R IH0 NG AX0 N AX0,NN,PLU|DEF|NOM|MAS-FEM,,,,Målfrid,843,basisnæringe,,
basisperioden,B AA1 S IH0 S P AX0 R IH0 OO3 D NX0,NN,SIN|DEF|NOM|MAS,,,,Målfrid,933,basisperiode,,
basisrammen,B AA1 S IH0 S R AH3 M AX0 N,NN,SIN|DEF|NOM|MAS,,,,Målfrid,807,basisramme,,
basisverdi,B AA1 S IH0 S V AX0 RD II3,NN,SIN|IND|NOM|MAS,,,,Målfrid,5381,basisverdi,,
basisvirksomhet,B AA1 S IH0 S V IH0 R K S OAH0 M H EE3 T,NN,SIN|IND|NOM|MAS-FEM,,,,Målfrid,908,basisvirksomh,,
basisvirksomheten,B AA1 S IH0 S V IH0 R K S OAH0 M H EE3 T NX0,NN,SIN|DEF|NOM|MAS,,,,Målfrid,1371,basisvirksomhete,,
bearbeidelsesverdien,B EE1 AH0 R B AEJ0 D LX0 S AX0 S V AX0 RD II3 AX0 N,NN,SIN|DEF|NOM|MAS,,,,Målfrid,1189,bearbeidelsesverdi,,
bearbeidingsfeil,B EE1 AH0 R B AEJ0 D IH0 NG S F AEJ3 L,NN,SIN|IND|NOM|MAS,,,,Målfrid,1746,bearbeidingsfeil,,
bearbeidingsmetoder,B EE1 AH0 R B AEJ0 D IH0 NG S M AX0 T OO3 D AX0 R,NN,PLU|IND|NOM|MAS-FEM,,,,Målfrid,854,bearbeidingsmetode,,
bebyggelsesstruktur,B AX0 B YH1 G LX0 S AX0 S S T R UH0 K T UU3 R,NN,SIN|IND|NOM|MAS,,,,Målfrid,1002,bebyggelsesstruktur,,
bedriftsgruppe,B AX0 D R IH1 F T S G R UH3 P AX0,NN,SIN|IND|NOM|MAS-FEM,,,,Målfrid,1002,bedriftsgruppe,,
bedriftshelsetjenester,B AX0 D R IH1 F T S H AX0 L S AX0 T J EE3 N AX0 S T AX0 R,NN,PLU|IND|NOM|MAS,,,,Målfrid,965,bedriftshelsetjeneste,,
bedriftsnettverk,B AX0 D R IH1 F T S N AX0 T V AEH3 R K,NN,PLU|IND|NOM|NEU,,,,Målfrid,837,bedriftsnettverk,,
bedriftsområdet,B AX0 D R IH1 F T S OAH0 M R OA3 D AX0,NN,SIN|DEF|NOM|NEU,,,,Målfrid,973,bedriftsområd,,
bedriftsopplysninger,B AX0 D R IH1 F T S OAH0 P L YY3 S N IH0 NG AX0 R,NN,PLU|IND|NOM|MAS-FEM,,,,Målfrid,1234,bedriftsopplysninge,,
bedriftspensjon,B AX0 D R IH1 F T S P AX0 N SJ OO3 N,NN,SIN|IND|NOM|MAS,B AX0 D R IH1 F T S P AH0 NG SJ OO3 N,,,Målfrid,810,bedriftspensjon,,
bedriftsstørrelse,B AX0 D R IH1 F T S S T OE3 RLX0 S AX0,NN,SIN|IND|NOM|MAS,,,,Målfrid,1790,bedriftsstørrelse,,
bedriftstellingen,B AX0 D R IH1 F T S T EH3 L IH0 NG AX0 N,NN,SIN|DEF|NOM|MAS,,,,Målfrid,1320,bedriftstellinge,,
bedriftsundersøkelsen,B AX0 D R IH1 F T S UH0 N AX0 RS OE3 K LX0 S NX0,NN,SIN|DEF|NOM|MAS,,,,Målfrid,826,bedriftsundersøkelse,,
bedømmelseskomiteens,B AX0 D OEH1 M LX0 S AX0 S K OH0 M IH0 T EE3 AX0 N S,NN,SIN|DEF|GEN|MAS,,,,Målfrid,2699,bedømmelseskomiteens,,
bedømmelseskomiteer,B AX0 D OEH1 M LX0 S AX0 S K OH0 M IH0 T EE3 AX0 R,NN,PLU|IND|NOM|MAS,,,,Målfrid,845,bedømmelseskomite,,
befalsutdanning,B AX0 F AA1 L S UU0 T D AH3 N IH0 NG,NN,SIN|IND|NOM|MAS-FEM,,,,Målfrid,816,befalsutdanning,,
befolkningsbaserte,B AX0 F OAH1 L K N IH0 NG S B AH0 S EE3 RT AX0,JJ,PLU|IND-DEF|NOM|NEU-MAS-FEM|POS,,,,Målfrid,853,befolkningsbasert,,
befolkningsdata,B AX0 F OAH1 L K N IH0 NG S D AA3 T AH0,NN,SIN-PLU|IND|NOM|NEU,,,,Målfrid,805,befolkningsdate,,
befolkningsendringer,B AX0 F OAH1 L K N IH0 NG S EH3 N D R IH0 NG AX0 R,NN,PLU|IND|NOM|MAS-FEM,,,,Målfrid,832,befolkningsendringe,,
befolkningsframskriving,B AX0 F OAH1 L K N IH0 NG S F R AH0 M S K R II3 V IH0 NG,NN,SIN|IND|NOM|MAS-FEM,,,,Målfrid,1010,befolkningsframskriving,,
befolkningsframskrivingene,B AX0 F OAH1 L K N IH0 NG S F R AH0 M S K R II3 V IH0 NG AX0 N AX0,NN,PLU|DEF|NOM|MAS-FEM,,,,Målfrid,1579,befolkningsframskrivinge,,
befolkningsframskrivinger,B AX0 F OAH1 L K N IH0 NG S F R AH0 M S K R II3 V IH0 NG AX0 R,NN,PLU|IND|NOM|MAS-FEM,,,,Målfrid,2069,befolkningsframskrivinge,,
befolkningsprognoser,B AX0 F OAH1 L K N IH0 NG S P R OH0 G N OO3 S AX0 R,NN,PLU|IND|NOM|MAS,,,,Målfrid,1220,befolkningsprognose,,
befolkningsstørrelse,B AX0 F OAH1 L K N IH0 NG S S T OE3 RLX0 S AX0,NN,SIN|IND|NOM|MAS,,,,Målfrid,1274,befolkningsstørrelse,,
beføyelser,B AX0 F OEJ1 AX0 L S AX0 R,NN,PLU|IND|NOM|MAS,,,,Målfrid,1775,beføyelse,,
begrensingen,B AX0 G R EH1 N S IH0 NG AX0 N,NN,SIN|DEF|NOM|MAS,,,,Målfrid,833,begrensing,,
begrensingene,B AX0 G R EH1 N S IH0 NG AX0 N AX0,NN,PLU|DEF|NOM|MAS-FEM,,,,Målfrid,899,begrensing,,
begrepsforståelse,B AX0 G R EE1 P S F OAH0 RS RT OA3 AX0 L S AX0,NN,SIN|IND|NOM|MAS,,,,Målfrid,1684,begrepsforståelse,,
begroing,B AX0 G R OO1 IH0 NG,NN,SIN|IND|NOM|MAS-FEM,,,,Målfrid,3983,begroing,,
begroingsalger,B AX0 G R OO1 IH0 NG S AH3 L G AX0 R,NN,PLU|IND|NOM|MAS,,,,Målfrid,840,begroingsalge,,
begrunnelsesplikten,B AX0 G R UH1 N LX0 S AX0 S P L IH3 K T NX0,NN,SIN|DEF|NOM|MAS,,,,Målfrid,1012,begrunnelsesplikte,,
begynneropplæring,B AX0 J YH1 N AX0 R OAH0 P L AE3 R IH0 NG,NN,SIN|IND|NOM|MAS-FEM,,,,Målfrid,2927,begynneropplæring,,
begynneropplæringen,B AX0 J YH1 N AX0 R OAH0 P L AE3 R IH0 NG AX0 N,NN,SIN|DEF|NOM|MAS,,,,Målfrid,1222,begynneropplæring,,
behandledes,B AX0 H AH1 N L AX0 D AX0 S,JJ,PLU|IND-DEF|GEN|NEU-MAS-FEM|POS,,,,Målfrid,2477,behandlede,,
behandlingsansvar,B AX0 H AH1 N L IH0 NG S AH0 N S V AA3 R,NN,SIN-PLU|IND|NOM|NEU,,,,Målfrid,1321,behandlingsansvar,,
behandlingsansvaret,B AX0 H AH1 N L IH0 NG S AH0 N S V AA3 R AX0,NN,SIN|DEF|NOM|NEU,,,,Målfrid,1350,behandlingsansvar,,
behandlingsansvarliges,B AX0 H AH1 N L IH0 NG S AH0 N S V AA3 RL IH0 AX0 S,JJ,PLU|IND-DEF|GEN|NEU-MAS-FEM|POS,,,,Målfrid,1489,behandlingsansvarlige,,
behandlingsforløp,B AX0 H AH1 N L IH0 NG S F OAH0 RL OE3 P,NN,SIN-PLU|IND|NOM|NEU,,,,Målfrid,2823,behandlingsforløp,,
behandlingsforløpet,B AX0 H AH1 N L IH0 NG S F OAH0 RL OE3 P AX0,NN,SIN|DEF|NOM|NEU,,,,Målfrid,2494,behandlingsforløp,,
behandlingsgrunnlag,B AX0 H AH1 N L IH0 NG S G R UH0 N L AA3 G,NN,SIN-PLU|IND|NOM|NEU,,,,Målfrid,3861,behandlingsgrunnlag,,
behandlingsgrunnlaget,B AX0 H AH1 N L IH0 NG S G R UH0 N L AA3 G AX0,NN,SIN|DEF|NOM|NEU,,,,Målfrid,828,behandlingsgrunnlag,,
behandlingskvalitet,B AX0 H AH1 N L IH0 NG S K V AH0 L IH0 T EE3 T,NN,SIN|IND|NOM|MAS,,,,Målfrid,882,behandlingskvalit,,
behandlingslinjer,B AX0 H AH1 N L IH0 NG S L IH3 N J AX0 R,NN,PLU|IND|NOM|MAS-FEM,,,,Målfrid,1050,behandlingslinje,,
behandlingsmulighetene,B AX0 H AH1 N L IH0 NG S M UU0 L IH0 H EE3 T NX0 AX0,NN,PLU|DEF|NOM|MAS-FEM,,,,Målfrid,1960,behandlingsmulighet,,
behandlingsrettede,B AX0 H AH1 N L IH0 NG S R EH3 T AX0 D AX0,JJ,PLU|IND-DEF|NOM|NEU-MAS-FEM|POS,,,,Målfrid,2018,behandlingsretted,,
behandlingsstedet,B AX0 H AH1 N L IH0 NG S S T EE3 D AX0,NN,SIN|DEF|NOM|NEU,,,,Målfrid,1685,behandlingssted,,
behandlingsvarighet,B AX0 H AH1 N L IH0 NG S V AA0 R IH0 H EE3 T,NN,SIN|IND|NOM|MAS-FEM,,,,Målfrid,812,behandlingsvarigh,,
behovsvurderinger,B AX0 H OO1 V S V UH0 RD EE3 R IH0 NG AX0 R,NN,PLU|IND|NOM|MAS-FEM,,,,Målfrid,852,behovsvurderinge,,
beiteareal,B AEJ2 T AX0 AH0 R AX0 AA3 L,NN,SIN-PLU|IND|NOM|NEU,,,,Målfrid,1906,beiteareal,,
beitearealer,B AEJ2 T AX0 AH0 R AX0 AA3 L AX0 R,NN,PLU|IND|NOM|NEU,,,,Målfrid,942,beiteareal,,
beitebrukere,B AEJ2 T AX0 B R UU3 K AX0 R AX0,NN,PLU|IND|NOM|MAS,,,,Målfrid,1079,beitebrukere,,
beitegrunnlaget,B AEJ2 T AX0 G R UH0 N L AA3 G AX0,NN,SIN|DEF|NOM|NEU,,,,Målfrid,989,beitegrunnlag,,
beitelag,B AEJ1 T AX0 L AA3 G,NN,SIN-PLU|IND|NOM|NEU,,,,Målfrid,4479,beitelag,,
beitemarkssopp,B AEJ2 T AX0 M AH0 R K S S OAH3 P,NN,SIN|IND|NOM|MAS,,,,Målfrid,1490,beitemarkssopp,,
beitenæring,B AEJ2 T AX0 N AE3 R IH0 NG,NN,SIN|IND|NOM|MAS-FEM,,,,Målfrid,892,beitenæring,,
beitenæringen,B AEJ2 T AX0 N AE3 R IH0 NG AX0 N,NN,SIN|DEF|NOM|MAS,,,,Målfrid,1051,beitenæringe,,
beitenæringene,B AEJ2 T AX0 N AE3 R IH0 NG AX0 N AX0,NN,PLU|DEF|NOM|MAS-FEM,,,,Målfrid,859,beitenæringe,,
beitepress,B AEJ2 T AX0 P R EH3 S,NN,SIN-PLU|IND|NOM|NEU,,,,Målfrid,1163,beitepress,,
beiteressursene,B AEJ2 T AX0 R AX0 S UH3 RS RNX0 AX0,NN,PLU|DEF|NOM|MAS,,,,Målfrid,1272,beiteressurs,,
beiteressurser,B AEJ2 T AX0 R AX0 S UH3 RS AX0 R,NN,PLU|IND|NOM|MAS,,,,Målfrid,1020,beiteressurs,,
beiteskader,B AEJ2 T AX0 S K AA3 D AX0 R,NN,PLU|IND|NOM|MAS,,,,Målfrid,817,beiteskade,,
beiteskog,B AEJ2 T AX0 S K OO3 G,NN,SIN|IND|NOM|MAS,,,,Målfrid,1741,beiteskog,,
beitetrykk,B AEJ2 T AX0 T R YH3 K,NN,SIN-PLU|IND|NOM|NEU,,,,Målfrid,2624,beitetrykk,,
beitetrykket,B AEJ2 T AX0 T R YH3 K AX0,NN,SIN|DEF|NOM|NEU,,,,Målfrid,2124,beitetrykk,,
beitingen,B AEJ2 T IH0 NG AX0 N,NN,SIN|DEF|NOM|MAS,,,,Målfrid,1258,beiting,,
bekjempelsessonen,B AX0 KJ EH1 M P LX0 S AX0 S S OO3 N NX0,NN,SIN|DEF|NOM|MAS,,,,Målfrid,1223,bekjempelsessone,,
